..........................] - ETA: 6:01 - loss: 2.4862
 9040/58608 [===>..........................] - ETA: 5:35 - loss: 2.4975
 9056/58608 [===>..........................] - ETA: 5:35 - loss: 2.4969
 9072/58608 [===>..........................] - ETA: 5:35 - loss: 2.4972
 9088/58608 [===>..........................] - ETA: 5:35 - loss: 2.4974
 9104/58608 [===>..........................] - ETA: 5:35 - loss: 2.4993
 9120/58608 [===>..........................] - ETA: 5:35 - loss: 2.4989
 9136/58608 [===>..........................] - ETA: 5:34 - loss: 2.4984
 9152/58608 [===>..........................] - ETA: 5:34 - loss: 2.4987
 9168/58608 [===>..........................] - ETA: 5:34 - loss: 2.4985
 9184/58608 [===>..........................] - ETA: 5:34 - loss: 2.4984
 9200/58608 [===>..........................] - ETA: 5:34 - loss: 2.4986
 9216/58608 [===>..........................] - ETA: 5:34 - loss: 2.4983
 9232/58608 [===>..........................] - ETA: 5:34 - loss: 2.4984
 9248/58608 [===>..........................] - ETA: 5:34 - loss: 2.4984
 9264/58608 [===>..........................] - ETA: 5:34 - loss: 2.4984
 9280/58608 [===>..........................] - ETA: 5:34 - loss: 2.4998
 9296/58608 [===>..........................] - ETA: 5:33 - loss: 2.4992
 9312/58608 [===>..........................] - ETA: 5:33 - loss: 2.4982
 9328/58608 [===>..........................] - ETA: 5:33 - loss: 2.4977
 9344/58608 [===>..........................] - ETA: 5:33 - loss: 2.4982
 9360/58608 [===>..........................] - ETA: 5:33 - loss: 2.4986
 9376/58608 [===>..........................] - ETA: 5:33 - loss: 2.4981
 9392/58608 [===>..........................] - ETA: 5:33 - loss: 2.4975
 9408/58608 [===>..........................] - ETA: 5:33 - loss: 2.4981
 9424/58608 [===>..........................] - ETA: 5:33 - loss: 2.4992
 9440/58608 [===>..........................] - ETA: 5:33 - loss: 2.5002
 9456/58608 [===>..........................] - ETA: 5:33 - loss: 2.5001
 9472/58608 [===>..........................] - ETA: 5:32 - loss: 2.5008
 9488/58608 [===>..........................] - ETA: 5:32 - loss: 2.5011
 9504/58608 [===>..........................] - ETA: 5:32 - loss: 2.5018
 9520/58608 [===>..........................] - ETA: 5:32 - loss: 2.5015
 9536/58608 [===>..........................] - ETA: 5:32 - loss: 2.5009
 9552/58608 [===>..........................] - ETA: 5:32 - loss: 2.5015
 9568/58608 [===>..........................] - ETA: 5:32 - loss: 2.5019
 9584/58608 [===>..........................] - ETA: 5:32 - loss: 2.5028
 9600/58608 [===>..........................] - ETA: 5:32 - loss: 2.5032
 9616/58608 [===>..........................] - ETA: 5:31 - loss: 2.5026
 9632/58608 [===>..........................] - ETA: 5:31 - loss: 2.5025
 9648/58608 [===>..........................] - ETA: 5:31 - loss: 2.5016
 9664/58608 [===>..........................] - ETA: 5:31 - loss: 2.5015
 9680/58608 [===>..........................] - ETA: 5:31 - loss: 2.5015
 9696/58608 [===>..........................] - ETA: 5:31 - loss: 2.5017
 9712/58608 [===>..........................] - ETA: 5:31 - loss: 2.5016
 9728/58608 [===>..........................] - ETA: 5:31 - loss: 2.5019
 9744/58608 [===>..........................] - ETA: 5:31 - loss: 2.5013
 9760/58608 [===>..........................] - ETA: 5:30 - loss: 2.5014
 9776/58608 [====>.........................] - ETA: 5:30 - loss: 2.5011
 9792/58608 [====>.........................] - ETA: 5:30 - loss: 2.5011
 9808/58608 [====>.........................] - ETA: 5:30 - loss: 2.5012
 9824/58608 [====>.........................] - ETA: 5:30 - loss: 2.5009
 9840/58608 [====>.........................] - ETA: 5:30 - loss: 2.5010
 9856/58608 [====>.........................] - ETA: 5:30 - loss: 2.5012
 9872/58608 [====>.........................] - ETA: 5:30 - loss: 2.5007
 9888/58608 [====>.........................] - ETA: 5:30 - loss: 2.4998
 9904/58608 [====>.........................] - ETA: 5:30 - loss: 2.4995
 9920/58608 [====>.........................] - ETA: 5:30 - loss: 2.4985
 9936/58608 [====>.........................] - ETA: 5:29 - loss: 2.4974
 9952/58608 [====>.........................] - ETA: 5:29 - loss: 2.4979
 9968/58608 [====>.........................] - ETA: 5:29 - loss: 2.4980
 9984/58608 [====>.........................] - ETA: 5:29 - loss: 2.4974
10000/58608 [====>.........................] - ETA: 5:29 - loss: 2.4975
10016/58608 [====>.........................] - ETA: 5:29 - loss: 2.4973
10032/58608 [====>.........................] - ETA: 5:29 - loss: 2.4967
10048/58608 [====>.........................] - ETA: 5:29 - loss: 2.4970
10064/58608 [====>.........................] - ETA: 5:29 - loss: 2.4970
10080/58608 [====>.........................] - ETA: 5:29 - loss: 2.4961
10096/58608 [====>.........................] - ETA: 5:28 - loss: 2.4962
10112/58608 [====>.........................] - ETA: 5:28 - loss: 2.4970
10128/58608 [====>.........................] - ETA: 5:28 - loss: 2.4972
10144/58608 [====>.........................] - ETA: 5:28 - loss: 2.4970
10160/58608 [====>.........................] - ETA: 5:28 - loss: 2.4967
10176/58608 [====>.........................] - ETA: 5:28 - loss: 2.4959
10192/58608 [====>.........................] - ETA: 5:28 - loss: 2.4956
10208/58608 [====>.........................] - ETA: 5:28 - loss: 2.4950
10224/58608 [====>.........................] - ETA: 5:28 - loss: 2.4947
10240/58608 [====>.........................] - ETA: 5:27 - loss: 2.4938
10256/58608 [====>.........................] - ETA: 5:27 - loss: 2.4938
10272/58608 [====>.........................] - ETA: 5:27 - loss: 2.4947
10288/58608 [====>.........................] - ETA: 5:27 - loss: 2.4948
10304/58608 [====>.........................] - ETA: 5:27 - loss: 2.4949
10320/58608 [====>.........................] - ETA: 5:27 - loss: 2.4954
10336/58608 [====>.........................] - ETA: 5:27 - loss: 2.4963
10352/58608 [====>.........................] - ETA: 5:27 - loss: 2.4968
